year,state,fips,gender,births
2008,Michigan,26,total,121127
2008,Minnesota,27,female,35373
2008,Minnesota,27,male,37048
2008,Minnesota,27,total,72421
2008,Mississippi,28,female,22102
2008,Mississippi,28,male,22845
2008,Mississippi,28,total,44947
2008,Missouri,29,female,39543
2008,Missouri,29,male,41420
2008,Missouri,29,total,80963
2008,Montana,30,female,6132
2008,Montana,30,male,6462
2008,Montana,30,total,12594
2008,Nebraska,31,female,13232
2008,Nebraska,31,male,13757
2008,Nebraska,31,total,26989
2008,Nevada,32,female,19300
2008,Nevada,32,male,20206
2008,Nevada,32,total,39506
2008,New Hampshire,33,female,6662
2008,New Hampshire,33,male,7021
2008,New Hampshire,33,total,13683
2008,New Jersey,34,female,55055
2008,New Jersey,34,male,57655
2008,New Jersey,34,total,112710
2008,New Mexico,35,female,14830
2008,New Mexico,35,male,15343
2008,New Mexico,35,total,30173
2008,New York,36,female,121816
2008,New York,36,male,128567
2008,New York,36,total,250383
2008,North Carolina,37,female,63765
2008,North Carolina,37,male,67074
2008,North Carolina,37,total,130839
2008,North Dakota,38,female,4365
2008,North Dakota,38,male,4573
2008,North Dakota,38,total,8938
2008,Ohio,39,female,73023
2008,Ohio,39,male,75798
2008,Ohio,39,total,148821
2008,Oklahoma,40,female,26857
2008,Oklahoma,40,male,27924
2008,Oklahoma,40,total,54781
2008,Oregon,41,female,23951
2008,Oregon,41,male,25145
2008,Oregon,41,total,49096
2008,Pennsylvania,42,female,72690
2008,Pennsylvania,42,male,76583
2008,Pennsylvania,42,total,149273
2008,Rhode Island,44,female,5857
2008,Rhode Island,44,male,6191
2008,Rhode Island,44,total,12048
2008,South Carolina,45,female,30940
2008,South Carolina,45,male,32131
2008,South Carolina,45,total,63071
2008,South Dakota,46,female,5857
2008,South Dakota,46,male,6214
2008,South Dakota,46,total,12071
2008,Tennessee,47,female,42002
2008,Tennessee,47,male,43558
2008,Tennessee,47,total,85560
2008,Texas,48,female,197894
2008,Texas,48,male,207660
2008,Texas,48,total,405554
2008,Utah,49,female,27107
2008,Utah,49,male,28527
2008,Utah,49,total,55634
