year,male,female,births
2007,2213001,2114380,4327381
2008,2177987,2080467,4258454
2009,2118374,2022399,4140773
2010,2051486,1957645,4009131
2011,2027805,1934276,3962081
2012,2024813,1935222,3960035
2013,2015372,1922536,3937908
2014,2042503,1949966,3992469
2015,2035632,1942833,3978465
